slide_id,order,category,clean_filename,raw_filename,badge_text,title_text,subtitle_text,button_1_text,button_1_target,button_2_text,button_2_target,paired_shoes,paired_shoes_url,paired_bag,paired_bag_url,description_text,alt_text
"slide-01",1,"Seated Hero","01_Palace_Matriarch_Indian_Model.jpg","stoffa_seated_mature_palace_1788787848514.jpg","REGAL HERITAGE","Palace Matriarch","Royal Wedding & Courtyard Elegance","Explore Palace Matriarch","Mother of the Bride","View Catalog","All","Crystal High K Wedge Champagne","https://stoffastyle.com/products/embellished-3-5-inch-high-wedge-champagne","__none___","","Mature Indian model seated on carved palace courtyard stairs with feet forward, showcasing handcrafted crystal-embellished champagne Kolhapuri wedges (no bag paired).","Accesoire & Stoffa Style - 01_Palace_Matriarch_Indian_Model.jpg featuring Palace Matriarch"
"slide-02",2,"Seated Hero","02_Amalfi_Terrace_Black_Model.jpg","stoffa_seated_black_terrace_1788787865296.jpg","RESORT EDIT 2026","Amalfi Terrace","Mediterranean Sunset & Gold Allure","Explore Amalfi Terrace","High wedges - 3.5 inch","View Catalog","All","Classic High K Wedge Gold","","Border Clutch Bag Gold","","Black model seated on sunlit stone terrace with feet extended forward, metallic gold wedges and embroidered silk potli resting beside.","Accesoire & Stoffa Style - 02_Amalfi_Terrace_Black_Model.jpg featuring Amalfi Terrace"
"slide-03",3,"Seated Hero","03_Emerald_Gala_East_Asian_Model.jpg","stoffa_seated_asian_steps_1788787882526.jpg","COUTURE GALA","Emerald Gala","Haute Evening & Platinum Contrast","Explore Emerald Gala","Higher wedge - 4.25 inch","View Catalog","All","Classic High K Wedge Slate","","Embellished Potli Bag Pewter","","East Asian model in emerald couture seated on wide limestone steps with shoes clearly visible and metallic evening potli.","Accesoire & Stoffa Style - 03_Emerald_Gala_East_Asian_Model.jpg featuring Emerald Gala"
"slide-04",4,"Seated Hero","04_Coastal_Promenade_Latina_Model.jpg","stoffa_seated_latina_chaise_1788787897598.jpg","COASTAL RESORT","Coastal Promenade","Resort Lounging & Rose Gold Shimmer","Explore Coastal Promenade","Low wedges - 2.5 inch","View Catalog","All","Bridal Border High Wedge - Rose Gold","","Embellished Potli Bag Rose Gold","","Latina resort model lounging on teak outdoor daybed with bougainvillea, showing 2.5-inch rose gold low wedges & champagne drawstring potli.","Accesoire & Stoffa Style - 04_Coastal_Promenade_Latina_Model.jpg featuring Coastal Promenade"
"slide-05",5,"Seated Hero","05_Sculptural_Atelier_Mature_Woman.jpg","stoffa_seated_mature_bench_1788787912992.jpg","ARCHITECTURAL ATELIER","Sculptural Atelier","Architectural Tailoring & Timeless Poise","Explore Sculptural Atelier","Classic High Wedges","View Catalog","All","Classic High K Wedge Champagne","","Border Flat Bag Gold","","Distinguished mature woman in ivory tailoring seated on bench with ankles crossed, showing bronze block heels & raw silk potli.","Accesoire & Stoffa Style - 05_Sculptural_Atelier_Mature_Woman.jpg featuring Sculptural Atelier"
"slide-06",6,"Seated Hero","06_Courtyard_Sangeet_Festive_Model.jpg","stoffa_seated_festive_swing_1788787930351.jpg","FESTIVE CELEBRATION","Courtyard Sangeet","Festive Vibrance & Pearl Accents","Explore Courtyard Sangeet","Celebration & Festive","View Catalog","All","Classic High K Wedge Rose Gold","","Embellished Potli Bag Rose Gold","","Joyful Indian model seated on carved courtyard step showing rose-gold metallic architectural wedges & swinging pearl-tassel potli.","Accesoire & Stoffa Style - 06_Courtyard_Sangeet_Festive_Model.jpg featuring Courtyard Sangeet"
"slide-07",7,"Seated Hero","07_Royal_Desert_Palace_Kaftan.jpg","stoffa_seated_desert_kaftan_1788787963883.jpg","DESERT ROYALE","Royal Desert Palace","Regal Opulence & Emerald Drapes","Explore Royal Desert Palace","Red Carpet Glamour","View Catalog","All","Classic High K Wedge Antique gold","","Embellished Potli Bag Antique","","Middle Eastern model in emerald silk kaftan seated on velvet palace floor cushions with legs forward, showing champagne Kolhapuri wedges & antique gold potli.","Accesoire & Stoffa Style - 07_Royal_Desert_Palace_Kaftan.jpg featuring Royal Desert Palace"
"slide-08",8,"Seated Hero","08_Generations_Of_Grace_Mother_Daughter.jpg","stoffa_seated_mother_daughter_1788787982346.jpg","GENERATIONS OF GRACE","Generations of Grace","Heirloom Craftsmanship across Generations","Explore Generations of Grace","All","View Catalog","All","Classic High K Wedge Champagne & Slate","","Embellished Potli Bag Antique & Rose Gold","","Mother and daughter seated side-by-side on garden steps with both pairs of handcrafted wedges and matching potlis resting on lower step.","Accesoire & Stoffa Style - 08_Generations_Of_Grace_Mother_Daughter.jpg featuring Generations of Grace"
"slide-09",9,"Seated Hero","09_Riviera_Yacht_Deck_Black_Model.jpg","stoffa_seated_yacht_deck_1788787996415.jpg","RIVIERA YACHT EDIT","Riviera Yacht Deck","High Seas Glamour & Mirror Metallics","Explore Riviera Yacht Deck","Cruise Ready","View Catalog","All","Classic High K Wedge Gold","","Border Clutch Bag Gold","","Black model seated on yacht teak lounger with feet extended forward, displaying mirror-finish gold metallic wedges & evening potli.","Accesoire & Stoffa Style - 09_Riviera_Yacht_Deck_Black_Model.jpg featuring Riviera Yacht Deck"
"slide-10",10,"Seated Hero","10_Botanical_Sanctuary_East_Asian.jpg","stoffa_seated_asian_garden_1788788011021.jpg","BOTANICAL SANCTUARY","Botanical Sanctuary","Minimalist Sanctuary & Braided Comfort","Explore Botanical Sanctuary","Low wedges - 2.5 inch","View Catalog","All","Classic High K Wedge Champagne","","Border Flat Bag Gold","","East Asian model seated on limestone terrace wall with legs crossed forward, showing champagne braided wedge sandals & metallic potli.","Accesoire & Stoffa Style - 10_Botanical_Sanctuary_East_Asian.jpg featuring Botanical Sanctuary"
