id,title,category,price_inr,price_usd,original_price_usd,sizes,materials,description
"stoffa_6914364276895","Bridal Border High Wedge - Rose Gold","High wedges - 3.5 inch",4000,80,100,"Light Gold / 36 / Vegan Leather; Light Gold / 37 / Vegan Leather; Light Gold / 38 / Vegan Leather; Light Gold / 39 / Vegan Leather; Light Gold / 40 / Vegan Leather; Light Gold / 41 / Vegan Leather; Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Step out in style in our traditional and elegant 3.5"" bridal wedges. Keeping in mind the colour palette of classic bridal wear, these wedges come in Light Gold and Rose Gold. Extra care taken to provide extra comfort."
"stoffa_7533698777247","Classic High K Wedge Gold","High wedges - 3.5 inch",4300,86,108,"Gold / 36 / Vegan Leather; Gold / 37 / Vegan Leather; Gold / 38 / Vegan Leather; Gold / 39 / Vegan Leather; Gold / 40 / Vegan Leather; Gold / 41 / Vegan Leather; Silver / 36 / Vegan Leather; Silver / 37 / Vegan Leather; Silver / 38 / Vegan Leather; Silver / 39 / Vegan Leather; Silver / 40 / Vegan Leather; Silver / 41 / Vegan Leather; Champagne / 36 / Vegan Leather; Champagne / 37 / Vegan Leather; Champagne / 38 / Vegan Leather; Champagne / 39 / Vegan Leather; Champagne / 40 / Vegan Leather; Champagne / 41 / Vegan Leather; Pewter / 36 / Vegan Leather; Pewter / 37 / Vegan Leather; Pewter / 38 / Vegan Leather; Pewter / 39 / Vegan Leather; Pewter / 40 / Vegan Leather; Pewter / 41 / Vegan Leather; Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather; Camel / 36 / Vegan Leather; Camel / 37 / Vegan Leather; Camel / 38 / Vegan Leather; Camel / 39 / Vegan Leather; Camel / 40 / Vegan Leather; Camel / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Antique gold / 36 / Vegan Leather; Antique gold / 37 / Vegan Leather; Antique gold / 38 / Vegan Leather; Antique gold / 39 / Vegan Leather; Antique gold / 40 / Vegan Leather; Antique gold / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534162935967","Classic High K Wedge Champagne","High wedges - 3.5 inch",4300,86,108,"Champagne / 36 / Vegan Leather; Champagne / 37 / Vegan Leather; Champagne / 38 / Vegan Leather; Champagne / 39 / Vegan Leather; Champagne / 40 / Vegan Leather; Champagne / 41 / Vegan Leather; Silver / 36 / Vegan Leather; Silver / 37 / Vegan Leather; Silver / 38 / Vegan Leather; Silver / 39 / Vegan Leather; Silver / 40 / Vegan Leather; Silver / 41 / Vegan Leather; Gold / 36 / Vegan Leather; Gold / 37 / Vegan Leather; Gold / 38 / Vegan Leather; Gold / 39 / Vegan Leather; Gold / 40 / Vegan Leather; Gold / 41 / Vegan Leather; Pewter / 36 / Vegan Leather; Pewter / 37 / Vegan Leather; Pewter / 38 / Vegan Leather; Pewter / 39 / Vegan Leather; Pewter / 40 / Vegan Leather; Pewter / 41 / Vegan Leather; Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather; Camel / 36 / Vegan Leather; Camel / 37 / Vegan Leather; Camel / 38 / Vegan Leather; Camel / 39 / Vegan Leather; Camel / 40 / Vegan Leather; Camel / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Antique gold / 36 / Vegan Leather; Antique gold / 37 / Vegan Leather; Antique gold / 38 / Vegan Leather; Antique gold / 39 / Vegan Leather; Antique gold / 40 / Vegan Leather; Antique gold / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534164181151","Classic High K Wedge Slate","High wedges - 3.5 inch",4300,86,108,"Slate / 36 / Vegan Leather; Slate / 37 / Vegan Leather; Slate / 38 / Vegan Leather; Slate / 39 / Vegan Leather; Slate / 40 / Vegan Leather; Slate / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Navy / 36 / Vegan Leather; Navy / 37 / Vegan Leather; Navy / 38 / Vegan Leather; Navy / 39 / Vegan Leather; Navy / 40 / Vegan Leather; Navy / 41 / Vegan Leather; Rose Antique / 36 / Vegan Leather; Rose Antique / 37 / Vegan Leather; Rose Antique / 38 / Vegan Leather; Rose Antique / 39 / Vegan Leather; Rose Antique / 40 / Vegan Leather; Rose Antique / 41 / Vegan Leather; Chocolate / 36 / Vegan Leather; Chocolate / 37 / Vegan Leather; Chocolate / 38 / Vegan Leather; Chocolate / 39 / Vegan Leather; Chocolate / 40 / Vegan Leather; Chocolate / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Ink / 36 / Vegan Leather; Ink / 37 / Vegan Leather; Ink / 38 / Vegan Leather; Ink / 39 / Vegan Leather; Ink / 40 / Vegan Leather; Ink / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather; Dark Grey / 36 / Vegan Leather; Dark Grey / 37 / Vegan Leather; Dark Grey / 38 / Vegan Leather; Dark Grey / 39 / Vegan Leather; Dark Grey / 40 / Vegan Leather; Dark Grey / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. In a range of subtle and elegant matte shades, it is a perfect match for any attire. Comfortable and light weight, this pair comes with a rubber non skid sole. comes with a rubber non skid sole and as a flat. Size Chart"
"stoffa_7534773993631","Classic High K Wedge Rose Gold","High wedges - 3.5 inch",4300,86,108,"Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather; Silver / 36 / Vegan Leather; Silver / 37 / Vegan Leather; Silver / 38 / Vegan Leather; Silver / 39 / Vegan Leather; Silver / 40 / Vegan Leather; Silver / 41 / Vegan Leather; Gold / 36 / Vegan Leather; Gold / 37 / Vegan Leather; Gold / 38 / Vegan Leather; Gold / 39 / Vegan Leather; Gold / 40 / Vegan Leather; Gold / 41 / Vegan Leather; Champagne / 36 / Vegan Leather; Champagne / 37 / Vegan Leather; Champagne / 38 / Vegan Leather; Champagne / 39 / Vegan Leather; Champagne / 40 / Vegan Leather; Champagne / 41 / Vegan Leather; Pewter / 36 / Vegan Leather; Pewter / 37 / Vegan Leather; Pewter / 38 / Vegan Leather; Pewter / 39 / Vegan Leather; Pewter / 40 / Vegan Leather; Pewter / 41 / Vegan Leather; Camel / 36 / Vegan Leather; Camel / 37 / Vegan Leather; Camel / 38 / Vegan Leather; Camel / 39 / Vegan Leather; Camel / 40 / Vegan Leather; Camel / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Antique gold / 36 / Vegan Leather; Antique gold / 37 / Vegan Leather; Antique gold / 38 / Vegan Leather; Antique gold / 39 / Vegan Leather; Antique gold / 40 / Vegan Leather; Antique gold / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534774714527","Classic High K Wedge Antique gold","High wedges - 3.5 inch",4300,86,108,"Antique gold / 36 / Vegan Leather; Antique gold / 37 / Vegan Leather; Antique gold / 38 / Vegan Leather; Antique gold / 39 / Vegan Leather; Antique gold / 40 / Vegan Leather; Antique gold / 41 / Vegan Leather; Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather; Silver / 36 / Vegan Leather; Silver / 37 / Vegan Leather; Silver / 38 / Vegan Leather; Silver / 39 / Vegan Leather; Silver / 40 / Vegan Leather; Silver / 41 / Vegan Leather; Gold / 36 / Vegan Leather; Gold / 37 / Vegan Leather; Gold / 38 / Vegan Leather; Gold / 39 / Vegan Leather; Gold / 40 / Vegan Leather; Gold / 41 / Vegan Leather; Champagne / 36 / Vegan Leather; Champagne / 37 / Vegan Leather; Champagne / 38 / Vegan Leather; Champagne / 39 / Vegan Leather; Champagne / 40 / Vegan Leather; Champagne / 41 / Vegan Leather; Pewter / 36 / Vegan Leather; Pewter / 37 / Vegan Leather; Pewter / 38 / Vegan Leather; Pewter / 39 / Vegan Leather; Pewter / 40 / Vegan Leather; Pewter / 41 / Vegan Leather; Camel / 36 / Vegan Leather; Camel / 37 / Vegan Leather; Camel / 38 / Vegan Leather; Camel / 39 / Vegan Leather; Camel / 40 / Vegan Leather; Camel / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534773862559","Classic High K Wedge Pewter","High wedges - 3.5 inch",4300,86,108,"Pewter / 36 / Vegan Leather; Pewter / 37 / Vegan Leather; Pewter / 38 / Vegan Leather; Pewter / 39 / Vegan Leather; Pewter / 40 / Vegan Leather; Pewter / 41 / Vegan Leather; Champagne / 36 / Vegan Leather; Champagne / 37 / Vegan Leather; Champagne / 38 / Vegan Leather; Champagne / 39 / Vegan Leather; Champagne / 40 / Vegan Leather; Champagne / 41 / Vegan Leather; Silver / 36 / Vegan Leather; Silver / 37 / Vegan Leather; Silver / 38 / Vegan Leather; Silver / 39 / Vegan Leather; Silver / 40 / Vegan Leather; Silver / 41 / Vegan Leather; Gold / 36 / Vegan Leather; Gold / 37 / Vegan Leather; Gold / 38 / Vegan Leather; Gold / 39 / Vegan Leather; Gold / 40 / Vegan Leather; Gold / 41 / Vegan Leather; Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather; Camel / 36 / Vegan Leather; Camel / 37 / Vegan Leather; Camel / 38 / Vegan Leather; Camel / 39 / Vegan Leather; Camel / 40 / Vegan Leather; Camel / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Antique gold / 36 / Vegan Leather; Antique gold / 37 / Vegan Leather; Antique gold / 38 / Vegan Leather; Antique gold / 39 / Vegan Leather; Antique gold / 40 / Vegan Leather; Antique gold / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534774354079","Classic High K Wedge Camel","High wedges - 3.5 inch",4300,86,108,"Camel / 36 / Vegan Leather; Camel / 37 / Vegan Leather; Camel / 38 / Vegan Leather; Camel / 39 / Vegan Leather; Camel / 40 / Vegan Leather; Camel / 41 / Vegan Leather; Champagne / 36 / Vegan Leather; Champagne / 37 / Vegan Leather; Champagne / 38 / Vegan Leather; Champagne / 39 / Vegan Leather; Champagne / 40 / Vegan Leather; Champagne / 41 / Vegan Leather; Silver / 36 / Vegan Leather; Silver / 37 / Vegan Leather; Silver / 38 / Vegan Leather; Silver / 39 / Vegan Leather; Silver / 40 / Vegan Leather; Silver / 41 / Vegan Leather; Gold / 36 / Vegan Leather; Gold / 37 / Vegan Leather; Gold / 38 / Vegan Leather; Gold / 39 / Vegan Leather; Gold / 40 / Vegan Leather; Gold / 41 / Vegan Leather; Pewter / 36 / Vegan Leather; Pewter / 37 / Vegan Leather; Pewter / 38 / Vegan Leather; Pewter / 39 / Vegan Leather; Pewter / 40 / Vegan Leather; Pewter / 41 / Vegan Leather; Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Antique gold / 36 / Vegan Leather; Antique gold / 37 / Vegan Leather; Antique gold / 38 / Vegan Leather; Antique gold / 39 / Vegan Leather; Antique gold / 40 / Vegan Leather; Antique gold / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. A neutral shade expressed in a traditional   format creates a classic and versatile   pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in     2 1/4 inches, and as flats. Size Chart"
"stoffa_7534774681759","Classic High K Wedge Taupe","High wedges - 3.5 inch",4300,86,108,"Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Camel / 36 / Vegan Leather; Camel / 37 / Vegan Leather; Camel / 38 / Vegan Leather; Camel / 39 / Vegan Leather; Camel / 40 / Vegan Leather; Camel / 41 / Vegan Leather; Champagne / 36 / Vegan Leather; Champagne / 37 / Vegan Leather; Champagne / 38 / Vegan Leather; Champagne / 39 / Vegan Leather; Champagne / 40 / Vegan Leather; Champagne / 41 / Vegan Leather; Silver / 36 / Vegan Leather; Silver / 37 / Vegan Leather; Silver / 38 / Vegan Leather; Silver / 39 / Vegan Leather; Silver / 40 / Vegan Leather; Silver / 41 / Vegan Leather; Gold / 36 / Vegan Leather; Gold / 37 / Vegan Leather; Gold / 38 / Vegan Leather; Gold / 39 / Vegan Leather; Gold / 40 / Vegan Leather; Gold / 41 / Vegan Leather; Pewter / 36 / Vegan Leather; Pewter / 37 / Vegan Leather; Pewter / 38 / Vegan Leather; Pewter / 39 / Vegan Leather; Pewter / 40 / Vegan Leather; Pewter / 41 / Vegan Leather; Rose Gold / 36 / Vegan Leather; Rose Gold / 37 / Vegan Leather; Rose Gold / 38 / Vegan Leather; Rose Gold / 39 / Vegan Leather; Rose Gold / 40 / Vegan Leather; Rose Gold / 41 / Vegan Leather; Antique gold / 36 / Vegan Leather; Antique gold / 37 / Vegan Leather; Antique gold / 38 / Vegan Leather; Antique gold / 39 / Vegan Leather; Antique gold / 40 / Vegan Leather; Antique gold / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. A neutral shade expressed in a traditional format creates a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in   2 1/4 inches, and as flats. Size Chart"
"stoffa_7534776582303","Classic High K Wedge Olive","High wedges - 3.5 inch",4000,80,100,"Olive / 36 / Vegan Leather; Olive / 37 / Vegan Leather; Olive / 38 / Vegan Leather; Olive / 39 / Vegan Leather; Olive / 40 / Vegan Leather; Olive / 41 / Vegan Leather; Taupe / 36 / Vegan Leather; Taupe / 37 / Vegan Leather; Taupe / 38 / Vegan Leather; Taupe / 39 / Vegan Leather; Taupe / 40 / Vegan Leather; Taupe / 41 / Vegan Leather; Navy / 36 / Vegan Leather; Navy / 37 / Vegan Leather; Navy / 38 / Vegan Leather; Navy / 39 / Vegan Leather; Navy / 40 / Vegan Leather; Navy / 41 / Vegan Leather; Slate / 36 / Vegan Leather; Slate / 37 / Vegan Leather; Slate / 38 / Vegan Leather; Slate / 39 / Vegan Leather; Slate / 40 / Vegan Leather; Slate / 41 / Vegan Leather; Blush / 36 / Vegan Leather; Blush / 37 / Vegan Leather; Blush / 38 / Vegan Leather; Blush / 39 / Vegan Leather; Blush / 40 / Vegan Leather; Blush / 41 / Vegan Leather; Rose Antique / 36 / Vegan Leather; Rose Antique / 37 / Vegan Leather; Rose Antique / 38 / Vegan Leather; Rose Antique / 39 / Vegan Leather; Rose Antique / 40 / Vegan Leather; Rose Antique / 41 / Vegan Leather; Chocolate / 36 / Vegan Leather; Chocolate / 37 / Vegan Leather; Chocolate / 38 / Vegan Leather; Chocolate / 39 / Vegan Leather; Chocolate / 40 / Vegan Leather; Chocolate / 41 / Vegan Leather; Black / 36 / Vegan Leather; Black / 37 / Vegan Leather; Black / 38 / Vegan Leather; Black / 39 / Vegan Leather; Black / 40 / Vegan Leather; Black / 41 / Vegan Leather; Ink / 36 / Vegan Leather; Ink / 37 / Vegan Leather; Ink / 38 / Vegan Leather; Ink / 39 / Vegan Leather; Ink / 40 / Vegan Leather; Ink / 41 / Vegan Leather; Maroon / 36 / Vegan Leather; Maroon / 37 / Vegan Leather; Maroon / 38 / Vegan Leather; Maroon / 39 / Vegan Leather; Maroon / 40 / Vegan Leather; Maroon / 41 / Vegan Leather; Dark Grey / 36 / Vegan Leather; Dark Grey / 37 / Vegan Leather; Dark Grey / 38 / Vegan Leather; Dark Grey / 39 / Vegan Leather; Dark Grey / 40 / Vegan Leather; Dark Grey / 41 / Vegan Leather","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. In a range of subtle and elegant matte shades, it is a perfect match for any attire. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 2 1/4 inches, and as flats. Size Chart"
